目标函数值：331.183
决策变量：
x
t1  （大小 7）	t1  （大小 7）	v1  （大小 2）	值
1	1	1	0
1	1	2	0
1	2	1	0
1	2	2	0
1	3	1	0
1	3	2	
1	4	1	
1	4	2	
1	5	1	
1	5	2	
1			
1			
1			
1			
2			
2			
2	7	1	
2	7	2	
2	6	1	
2			
2			
2			
2			
2			
2			
2			
2			
2			
3	7	1	
3	7	2	
3			
3			
3			
3			
3			
3			
3			
3			
3	6	1	0
3	6	2	0
3	7	1	0
3	7	2	0
4	1	1	0
4	1	2	0
4	2	1	0
4	2	2	0
4	3	1	0
4	3	2	0
4	4	1	0
4	4	2	0
4	5	1	0
4	5	2	0
4	6	1	1
4	6	2	0
4	7	1	0
4	7	2	0
5	1	1	0
5	1	2	0
5	2	1	1
5	2	2	0
5	3	1	0
5	3	2	0
5	4	1	0
5	4	2	0
5	5	1	0
5	5	2	0
5	6	1	0
5	6	2	0
5	7	1	0
5	7	2	0
6	1	1	0
6	1	2	0
6	2	1	0
6	2	2	0
6	3	1	0
6	3	2	0
6	4	1	0
6	4	2	0
6	5	1	1
6	5	2	0
6	6	1	0
6	6	2	0
6	7	1	0
6	7	2	0
7	1	1	0
7	1	2	0
7	2	1	0
7	2	2	0
7	3	1	1
7	3	2	0
7	4	1	0
7	4	2	0
7	5	1	0
7	5	2	0
7	6	1	0
7	6	2	0
7	7	1	0
7	7	2	0

y
t1  （大小 7）	值
1	0
2	4.23786910887381
3	7.4061802618748
4	0
5	2.98895940111057
7	2.44068429638125
7	5.22192491075471


求解时间：0.34秒
