目标函数：355.553
决策变量：
x
t1  （大小 9）	t1  （大小 9）	v1  （大小 2）	值
1	1	1	0
1	1	2	0
1	2	1	1
1	2	2	0
1	3	1	0
1	3	2	0
1	4	1	0
1	4	2	0
1	5	1	0
1	5	2	0
1	6	1	0
1	6	2	0
1	7	1	0
1	7	2	0
1	8	1	0
1	8	2	0
1	9	1	0
1	9	2	0
2	1	1	0
2	1	2	0
2	2	1	0
2	2	2	0
2	3	1	0
2	3	2	0
2	4	1	1
2	4	2	0
2	5	1	0
2	5	2	0
2	6	1	0
2	6	2	0
2	7	1	0
2	7	2	0
2	8	1	0
2	8	2	0
2	9	1	0
2	9	2	0
3	1	1	0
3	1	2	0
3	2	1	0
3	2	2	0
3	3	1	0
3	3	2	0
3	4	1	0
3	4	2	0
3	5	1	0
3	5	2	0
3	6	1	1
3	6	2	0
3	7	1	0
3	7	2	0
3	8	1	0
3	8	2	0
3	9	1	0
3	9	2	0
4	1	1	0
4	1	2	0
4	2	1	0
4	2	2	0
4	3	1	1
4	3	2	0
4	4	1	0
4	4	2	0
4	5	1	0
4	5	2	0
4	6	1	0
4	6	2	0
4	7	1	0
4	7	2	0
4	8	1	0
4	8	2	0
4	9	1	0
4	9	2	0
5	1	1	0
5	1	2	0
5	2	1	0
5	2	2	0
5	3	1	0
5	3	2	0
5	4	1	0
5	4	2	0
5	5	1	0
5	5	2	0
5	6	1	0
5	6	2	0
5	7	1	1
5	7	2	0
5	8	1	0
5	8	2	0
5	9	1	0
5	9	2	0
6	1	1	0
6	1	2	0
6	2	1	0
6	2	2	0
6	3	1	0
6	3	2	0
6	4	1	0
6	4	2	0
6	5	1	0
6	5	2	0
6	6	1	0
6	6	2	0
6	7	1	0
6	7	2	0
6	8	1	1
6	8	2	0
6	9	1	0
6	9	2	0
7	1	1	0
7	1	2	0
7	2	1	0
7	2	2	0
7	3	1	0
7	3	2	0
7	4	1	0
7	4	2	0
7	5	1	0
7	5	2	0
7	6	1	0
7	6	2	0
7	7	1	0
7	7	2	0
7	8	1	0
7	8	2	0
7	9	1	1
7	9	2	0
8	1	1	0
8	1	2	0
8	2	1	0
8	2	2	0
8	3	1	0
8	3	2	0
8	4	1	0
8	4	2	0
8	5	1	1
8	5	2	0
8	6	1	0
8	6	2	0
8	7	1	0
8	7	2	0
8	8	1	0
8	8	2	0
8	9	1	0
8	9	2	0
9	1	1	1
9	1	2	0
9	2	1	0
9	2	2	0
9	3	1	0
9	3	2	0
9	4	1	0
9	4	2	0
9	5	1	0
9	5	2	0
9	6	1	0
9	6	2	0
9	7	1	0
9	7	2	0
9	8	1	0
9	8	2	0
9	9	1	0
9	9	2	0

y
t1  （大小 9）	值
1	0
2	0
3	3.81884557066587
4	3.22717890399872
5	9.06694968666589
6	5.25565832736902
7	10.9827053964469
8	7.54672962941044
9	13.0449077156337

时间：7.88
