task 1：
目标函数：319.167
决策变量：
x
t1  （大小 6）	t1  （大小 6）	v1  （大小 2）	值
1	1	1	0
1	1	2	0
1	2	1	0
1	2	2	0
1	3	1	0
1	3	2	0
1	4	1	0
1	4	2	0
1	5	1	0
1	5	2	0
1	6	1	1
1	6	2	0
2	1	1	0
2	1	2	0
2	2	1	0
2	2	2	0
2	3	1	0
2	3	2	0
2	4	1	1
2	4	2	0
2	5	1	0
2	5	2	0
2	6	1	0
2	6	2	0
3	1	1	0
3	1	2	0
3	2	1	0
3	2	2	0
3	3	1	0
3	3	2	0
3	4	1	0
3	4	2	0
3	5	1	1
3	5	2	0
3	6	1	0
3	6	2	0
4	1	1	1
4	1	2	0
4	2	1	0
4	2	2	0
4	3	1	0
4	3	2	0
4	4	1	0
4	4	2	0
4	5	1	0
4	5	2	0
4	6	1	0
4	6	2	0
5	1	1	0
5	1	2	0
5	2	1	1
5	2	2	0
5	3	1	0
5	3	2	0
5	4	1	0
5	4	2	0
5	5	1	0
5	5	2	0
5	6	1	0
5	6	2	0
6	1	1	0
6	1	2	0
6	2	1	0
6	2	2	0
6	3	1	1
6	3	2	0
6	4	1	0
6	4	2	0
6	5	1	0
6	5	2	0
6	6	1	0
6	6	2	0

y
t1  （大小 6）	值
1	0
2	5.69583251437301
3	1.47289244149494
4	7.89565495983553
5	3.28222272623959
6	0.403112887414927

时间：1.86秒

task 2：
目标函数：347.481
决策变量：
x
t1  （大小 6）	t1  （大小 6）	v1  （大小 2）	值
1	1	1	0
1	1	2	0
1	2	1	0
1	2	2	0
1	3	1	0
1	3	2	0
1	4	1	0
1	4	2	0
1	5	1	0
1	5	2	0
1	6	1	0
1	6	2	1
2	1	1	0
2	1	2	1
2	2	1	0
2	2	2	0
2	3	1	0
2	3	2	0
2	4	1	0
2	4	2	0
2	5	1	0
2	5	2	0
2	6	1	0
2	6	2	0
3	1	1	0
3	1	2	0
3	2	1	0
3	2	2	0
3	3	1	0
3	3	2	0
3	4	1	0
3	4	2	0
3	5	1	0
3	5	2	1
3	6	1	0
3	6	2	0
4	1	1	0
4	1	2	0
4	2	1	0
4	2	2	1
4	3	1	0
4	3	2	0
4	4	1	0
4	4	2	0
4	5	1	0
4	5	2	0
4	6	1	0
4	6	2	0
5	1	1	0
5	1	2	0
5	2	1	0
5	2	2	0
5	3	1	0
5	3	2	0
5	4	1	0
5	4	2	1
5	5	1	0
5	5	2	0
5	6	1	0
5	6	2	0
6	1	1	0
6	1	2	0
6	2	1	0
6	2	2	0
6	3	1	0
6	3	2	1
6	4	1	0
6	4	2	0
6	5	1	0
6	5	2	0
6	6	1	0
6	6	2	0

y
t1  （大小 6）	值
1	0
2	7.35718176068113
3	1.56475430091184
4	5.1573593152168
5	2.5699464591408
6	0.903112887414928

时间：1.86秒
